,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
0,38, Private,89814, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,50, United-States, <=50K
1,28, Local-gov,336951, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40, United-States, >50K
2,44, Private,160323, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,7688.0,0.0,40, United-States, >50K
3,34, Private,198693, 10th,6, Never-married, Other-service, Not-in-family, White, Male,0.0,0.0,30, United-States, <=50K
4,63, Self-emp-not-inc,104626, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,3103.0,0.0,32, United-States, >50K
5,24, Private,369667, Some-college,10, Never-married, Other-service, Unmarried, White, Female,0.0,0.0,40, United-States, <=50K
6,55, Private,104996, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,10, United-States, <=50K
7,65, Private,184454, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,6418.0,0.0,40, United-States, >50K
8,36, Federal-gov,212465, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40, United-States, <=50K
9,26, Private,82091, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,39, United-States, <=50K
10,48, Private,279724, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3103.0,0.0,48, United-States, >50K
11,43, Private,346189, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,50, United-States, >50K
12,20, State-gov,444554, Some-college,10, Never-married, Other-service, Own-child, White, Male,0.0,0.0,25, United-States, <=50K
13,43, Private,128354, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,30, United-States, <=50K
14,37, Private,60548, HS-grad,9, Widowed, Machine-op-inspct, Unmarried, White, Female,0.0,0.0,20, United-States, <=50K
15,34, Private,107914, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,47, United-States, >50K
16,34, Private,238588, Some-college,10, Never-married, Other-service, Own-child, Black, Female,0.0,0.0,35, United-States, <=50K
